target_class,viewpoint,pair_stage_observation_count,third_stage_observation_count,pair_stage_scene_support,third_stage_scene_support,pair_stage_mean_marginal_target_ap50_95,third_stage_mean_marginal_target_ap50_95,combined_marginal_target_ap50_95,pair_stage_mean_marginal_target_strict_quality_iou50,third_stage_mean_marginal_target_strict_quality_iou50,combined_marginal_target_strict_quality_iou50
male,elmid-radmid-az000,4,196,18,349,0.10116964298627157,0.026738440552142594,0.06395404176920708,0.08523131981142743,0.01778781833087435,0.05150956907115089
male,elhigh-radnear-az180,8,155,29,236,0.08033222478534921,0.04768737023918341,0.0640097975122663,0.06724053095506198,0.025272633356118512,0.046256582155590246
male,elmid-radmid-az045,17,283,85,429,0.09141178238290769,0.0339449804172589,0.06267838140008329,0.06233235031932886,0.027284154273147652,0.044808252296238256
male,elmid-radnear-az045,11,123,59,205,0.06681521228629911,0.03556673015743303,0.05119097122186607,0.045994544224526666,0.036429064396594164,0.041211804310560415
male,elmid-radnear-az000,2,6,6,8,0.09608333146882553,0.09166666739102865,0.09387499942992708,0.028454619861230768,0.05224640941672476,0.040350514638977764
male,elmid-radnear-az270,19,238,109,425,0.10443688283727699,0.0459235557695555,0.07518021930341624,0.05473637992430432,0.025147691026735055,0.03994203547551969
male,elhigh-radfar-az180,8,117,33,174,0.09732834321889021,0.018606177419547874,0.05796726031921904,0.0541207359200145,0.025558595677887756,0.039839665798951124
male,elmid-radnear-az180,8,188,35,270,0.08455711638214809,0.014661434866152687,0.04960927562415039,0.04942077740956602,0.02984395116890918,0.039632364289237595
male,ellow-radmid-az180,6,105,27,161,0.08367487269539935,0.12409252682679354,0.10388369976109645,0.025693926738833844,0.049762036911563244,0.03772798182519854
male,ellow-radmid-az270,5,46,20,65,0.08938029831921668,0.0630992430393529,0.07623977067928478,0.055223797887481794,0.018430666366986252,0.03682723212723402
male,elhigh-radfar-az135,7,54,29,77,0.10646797399849572,0.012625844167159958,0.059546909082827844,0.06992171538239952,0.0020205245764262575,0.035971119979412894
male,elhigh-radmid-az045,8,93,35,133,0.08269344391114797,0.007771057158245683,0.04523225053469682,0.06137403133697658,0.010491236211079672,0.035932633774028125
male,ellow-radfar-az000,6,150,36,246,0.06321959967638013,0.03669638451673024,0.04995799209655519,0.05504002297492525,0.01653217783150308,0.035786100403214165
male,ellow-radmid-az000,15,255,64,411,0.06481284257566015,0.02332516335457176,0.044069002965115955,0.05024743298381528,0.020989984147979434,0.035618708565897356
male,elmid-radmid-az270,9,124,62,236,0.09132469060220898,0.10275306151922697,0.09703887606071798,0.03226242955323071,0.03803233399146471,0.03514738177234771
male,elmid-radnear-az135,13,92,95,179,0.0979086598738351,0.05785981720538457,0.07788423853960984,0.05809937176876259,0.011621123669250133,0.034860247719006365
male,elmid-radfar-az000,11,43,54,75,0.06589080329987401,0.014267218448327604,0.04007901087410081,0.047650818054972906,0.01950625245069711,0.03357853525283501
male,ellow-radfar-az135,7,260,31,377,0.06654174042152548,0.02271251329050645,0.04462712685601597,0.05698486626195395,0.006588499061001043,0.031786682661477494
male,ellow-radfar-az225,10,336,42,487,0.072306351136769,0.02134853029945754,0.046827440718113275,0.052637133191401876,0.010440077041190038,0.031538605116295956
male,elhigh-radfar-az090,4,86,18,132,0.08253178950731777,0.0049164237817423875,0.043724106644530074,0.06091749676218555,0.0018453205257358287,0.03138140864396069
male,ellow-radfar-az045,11,231,29,282,0.041002285101877894,0.02917249294888177,0.035087389025379834,0.03442424547321444,0.027806000878210814,0.031115123175712626
male,elhigh-radmid-az270,17,314,69,453,0.08496906430263179,0.01180986595557737,0.04838946512910458,0.05542378313536594,0.005791886329880718,0.030607834732623327
male,elmid-radmid-az135,9,115,32,148,0.11521213235274158,0.01966988728646544,0.0674410098196035,0.05314831680302253,0.005828732736204506,0.029488524769613517
male,elmid-radmid-az180,12,135,61,219,0.0666348340276534,0.04131232567749581,0.0539735798525746,0.03673326154587577,0.02015880508007459,0.028446033312975183
