scene_key,target_class,available_image_count,added_image_number,base_coalition_size,permutations_used,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou
S0-SM_tree24,tree,9,2,1,256,0.9904652913071914,0.9549962480976869,0.9797584540777018,0.06832105844787292,0.008307652979411648,0.033069858959426615
S0-SM_tree24,tree,9,3,2,256,1.0,0.9585672572727156,0.9841999724931034,0.009534708692808636,0.003571009175028783,0.0044415184154014895
S0-SM_tree24,tree,9,4,3,256,1.0,0.9609808867715615,0.986858090357803,0.0,0.0024136294988458262,0.002658117864699765
S0-SM_tree24,tree,9,5,4,256,1.0,0.9629572462805844,0.9892172408134691,0.0,0.001976359509022918,0.0023591504556659524
S0-SM_tree24,tree,9,6,5,256,1.0,0.9642391147378748,0.9908895824677713,0.0,0.0012818684572904332,0.0016723416543021757
S0-SM_tree24,tree,9,7,6,256,1.0,0.9651935494945747,0.9918787751731183,0.0,0.0009544347566998457,0.000989192705347094
S0-SM_tree24,tree,9,8,7,256,1.0,0.965733515164183,0.9924488461108647,0.0,0.000539965669608386,0.0005700709377461288
S0-SM_tree25,tree,15,1,0,256,0.9136127172744266,0.9550227108945292,0.9550227108945292,0.9136127172744266,0.9550227108945292,0.9550227108945292
S0-SM_tree25,tree,15,2,1,256,0.9669591353762856,0.9636141981290427,0.9869819882412245,0.053346418101858965,0.008591487234513556,0.03195927734669539
S0-SM_tree25,tree,15,3,2,256,0.9928002305272579,0.9676828010869507,0.9904603732577295,0.025841095150972247,0.004068602957908021,0.003478385016505013
S0-SM_tree25,tree,15,4,3,256,0.9983723958648625,0.9697736410746252,0.9916132966688157,0.0055721653376046235,0.0020908399876744532,0.0011529234110861865
S0-SM_tree25,tree,15,5,4,256,0.9998372395843035,0.9705542405381784,0.9923862884375236,0.0014648437194409772,0.0007805994635531888,0.0007729917687078537
S0-SM_tree25,tree,15,6,5,256,1.0,0.9712098693252222,0.9927075646201097,0.0001627604156965389,0.0006556287870438521,0.0003212761825860371
S0-SM_tree25,tree,15,7,6,256,1.0,0.9716299498911122,0.9929129974827031,0.0,0.00042008056588989373,0.00020543286259353585
S0-SM_tree25,tree,15,8,7,256,1.0,0.9718765752347901,0.9931674511169561,0.0,0.0002466253436779753,0.00025445363425286895
S0-SM_tree26,tree,13,1,0,256,0.8324799166662327,0.9517226591001047,0.9517226591001047,0.8324799166662327,0.9517226591001047,0.9517226591001047
S0-SM_tree26,tree,13,2,1,256,0.8947359635164319,0.9632990129590819,0.9853221624160857,0.06225604685019928,0.01157635385897729,0.03359950331598109
S0-SM_tree26,tree,13,3,2,256,0.9304884719325135,0.9676030370201838,0.9891167426302738,0.03575250841608153,0.004304024061101808,0.0037945802141880454
S0-SM_tree26,tree,13,4,3,256,0.9427474646712329,0.9707827449921832,0.9909488646160812,0.01225899273871945,0.003179707971999457,0.0018321219858074577
S0-SM_tree26,tree,13,5,4,256,0.9548634520770116,0.9722520778848489,0.9917970436568055,0.012115987405778707,0.001469332892665709,0.0008481790407243862
S0-SM_tree26,tree,13,6,5,256,0.9632822200555229,0.9730709587797896,0.9924580270856462,0.008418767978511167,0.0008188808949406434,0.0006609834288406643
S0-SM_tree26,tree,13,7,6,256,0.9690245622630639,0.9738325245135415,0.9928202691894756,0.005742342207541086,0.0007615657337518983,0.00036224210382926336
S0-SM_tree26,tree,13,8,7,256,0.97828737341384,0.9742433564253583,0.993101648986193,0.009262811150776033,0.0004108319118168724,0.00028137979671749493
S0-SM_tree27,tree,9,1,0,256,0.9198797144241528,0.9538958290132884,0.9538958290132884,0.9198797144241528,0.9538958290132884,0.9538958290132884
S0-SM_tree27,tree,9,2,1,256,0.9690522699282157,0.9623928124956262,0.9846245321509546,0.049172555504062784,0.008496983482337933,0.030728703137666232
S0-SM_tree27,tree,9,3,2,256,0.986983817224973,0.9665434374372625,0.9886625251753973,0.01793154729675734,0.004150624941636122,0.004037993024442765
