scene_key,target_class,viewpoint_1,viewpoint_2,ordered_label,best_constituent_single,best_box_score,noisy_or_best_iou_score,support_weighted_or_score,geometry_prior_selector_score,geometry_calibrated_selector_score,viewpoint_cell_prior_selector_score,geometry_weighted_or_best_iou_score,geometry_weighted_or_mean_iou_score,viewpoint_cell_weighted_or_best_iou_score,hybrid_geometry_cell_weighted_or_best_iou_score
S0-SM_container_13,container,elhigh-radmid-az315,ellow-radnear-az225,elhigh-radmid-az315 + ellow-radnear-az225,0.955274091924565,0.955274091924565,0.9817057917191456,0.9735474732648813,0.9396956933518296,0.9396956933518296,0.955274091924565,0.9814467234896035,0.9732905579829287,0.9818341826489682,0.9816317113433448
S0-SM_container_13,container,elhigh-radmid-az315,ellow-radnear-az315,elhigh-radmid-az315 + ellow-radnear-az315,0.9602085164954416,0.9602085164954416,0.9860727682934244,0.9757403840807019,0.9396956933518296,0.9396956933518296,0.9602085164954416,0.9854551214342022,0.9751292091217921,0.9862124654964325,0.9858176316107645
S0-SM_container_13,container,elhigh-radmid-az315,elmid-radfar-az000,elhigh-radmid-az315 + elmid-radfar-az000,0.9396956933518296,0.9396956933518296,0.9650810645042492,0.9597841888739385,0.9396956933518296,0.9396956933518296,0.9396956933518296,0.9649586968085915,0.9596624927969549,0.9649479684142224,0.9649517837710885
S0-SM_container_13,container,elhigh-radmid-az315,elmid-radmid-az090,elhigh-radmid-az315 + elmid-radmid-az090,0.9512390255839024,0.9512390255839024,0.9781229940587788,0.9717484655360671,0.9512390255839024,0.9512390255839024,0.9512390255839024,0.9787106749286848,0.9723323164290785,0.9785306199087055,0.9786237547808854
S0-SM_container_13,container,elhigh-radmid-az315,elmid-radmid-az270,elhigh-radmid-az315 + elmid-radmid-az270,0.9396982987161911,0.9396982987161911,0.9752392515302509,0.9701851290963934,0.9396982987161911,0.9396982987161911,0.9396982987161911,0.975710020784973,0.9706534586159965,0.9753695555408679,0.9755453469705504
S0-SM_container_13,container,elhigh-radmid-az315,elmid-radnear-az180,elhigh-radmid-az315 + elmid-radnear-az180,0.955811884717562,0.955811884717562,0.9830750147092733,0.9742211226538656,0.955811884717562,0.955811884717562,0.955811884717562,0.9836223425463738,0.9747635210791551,0.9833233789593214,0.9834781107812087
S0-SM_container_13,container,elhigh-radnear-az090,elhigh-radnear-az135,elhigh-radnear-az090 + elhigh-radnear-az135,0.9525636552102412,0.9525636552102412,0.9810693461842427,0.9691372323782625,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.9816108687820749,0.9696721687859432,0.9813663728522564,0.981494617491208
S0-SM_container_13,container,elhigh-radnear-az090,ellow-radfar-az045,elhigh-radnear-az090 + ellow-radfar-az045,0.9286069964873568,0.9286069964873568,0.9621721589876033,0.9595866807554939,0.9243960410761644,0.9243960410761644,0.9243960410761644,0.9617287313833619,0.9591444446972847,0.9619702056455268,0.961825887007712
S0-SM_container_13,container,elhigh-radnear-az090,ellow-radnear-az000,elhigh-radnear-az090 + ellow-radnear-az000,0.9549362562438546,0.9549362562438546,0.9716222218327033,0.964621644934231,0.9243960410761644,0.9243960410761644,0.9243960410761644,0.9709785631065564,0.9639826237949027,0.968290814504855,0.9697353223454904
S0-SM_container_13,container,elhigh-radnear-az090,ellow-radnear-az135,elhigh-radnear-az090 + ellow-radnear-az135,0.9306190336194752,0.9306190336194752,0.9574675901438087,0.9542947449251088,0.9243960410761644,0.9243960410761644,0.9306190336194752,0.957376651780523,0.9542041079123379,0.9577345597242181,0.9575339485886253
