drone_count,relationship_axis,relationship_type,metric,scene_count,total_combo_count,mean_scene_value,ci95_low,ci95_high,scene_sd
3,distance,near_far,strict_quality,194,18627,0.920880920375515,0.9106939783480845,0.9305494993070771,0.06993205568771343
3,distance,same_radius,strict_quality,197,4167,0.9170890943307084,0.9065518578837065,0.9268289213255173,0.0733927961648486
3,distance,adjacent_radius,strict_quality,200,18852,0.9163759573202732,0.9064249462833743,0.9264390486236773,0.07246595259150032
3,elevation,low_high,strict_quality,198,19079,0.9209241239126642,0.9110772912801726,0.9301847377195269,0.0692543351944819
3,elevation,adjacent_elevation,strict_quality,201,18567,0.9201994198530835,0.9099914083055813,0.9295506453729055,0.07045607410313487
3,elevation,same_elevation,strict_quality,197,4000,0.9153918394539893,0.9043081050609952,0.9261537637965609,0.07544180088306997
3,mixed_diversity,elevation_only,strict_quality,14,14,0.9291322698656496,0.8924494448428234,0.9566796596133706,0.06237931337270979
3,mixed_diversity,distance+elevation,strict_quality,137,481,0.923487558366519,0.9114721357709755,0.9339202261511819,0.06778046132130007
3,mixed_diversity,distance+elevation+azimuth,strict_quality,205,33303,0.9194440124089939,0.9095542743579734,0.9286565573166123,0.07035694043295636
3,mixed_diversity,elevation+azimuth,strict_quality,197,3848,0.9173940704859787,0.9067637745625603,0.9272362372941498,0.0730711583056249
3,mixed_diversity,distance+azimuth,strict_quality,197,3678,0.9159920386106236,0.9051443947051845,0.9264178279640074,0.07469094028806184
3,mixed_diversity,azimuth_only,strict_quality,118,305,0.9123196455268743,0.8972600312821946,0.9273999525772797,0.0838426606469348
3,mixed_diversity,distance_only,strict_quality,17,17,0.8913226068109502,0.8448012529384273,0.9312603091045316,0.09036312525555124
