model,object,target_class,view_id,filename,n_views_in_game,predecessor_coalition_size,predecessor_coalition_count,shapley_weight_per_coalition,shapley_total_weight_for_size,mean_marginal_detection,mean_marginal_strict_quality,mean_marginal_noisy_or_best_iou
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,7,36,0.002777777777777778,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,8,9,0.011111111111111112,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,9,1,0.1,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,0,1,0.1,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,1,9,0.011111111111111112,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,2,36,0.002777777777777778,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,3,84,0.0011904761904761906,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,4,126,0.0007936507936507937,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,5,126,0.0007936507936507937,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,6,84,0.0011904761904761906,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,7,36,0.002777777777777778,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,8,9,0.011111111111111112,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,9,1,0.1,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,8,2026-07-12 21.01.50.jpg,10,0,1,0.1,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,8,2026-07-12 21.01.50.jpg,10,1,9,0.011111111111111112,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,8,2026-07-12 21.01.50.jpg,10,2,36,0.002777777777777778,0.1,0.0,0.0,0.0
