viewpoint,original_count,original_mean_ap50_95,original_median_ap50_95,original_std_ap50_95,single_id,number_of_train_images,number_of_val_images,number_of_test_images,trained_precision,trained_recall,trained_f1,trained_map50,trained_map50_95,elevation,radius,azimuth,grid_row_label,original_rank,original_pct,trained_rank,trained_pct,original_z,trained_z,pct_delta,z_delta,rank_delta,abs_rank_delta
elmid-radmid-az180,31,0.8442402151795599,0.8738271689120634,0.10971813289231483,sv0037,149,25,2214,0.587757705142099,0.6504646351741608,0.6175233458449934,0.587757705142099,0.3920347270865256,elmid,radmid,180,mid | mid,36,0.5070422535211268,10,0.8732394366197183,0.5118963403530381,1.377189628431499,0.3661971830985915,0.865293288078461,26,26
elmid-radmid-az225,22,0.864429539666255,0.8968750000000001,0.12966235497065004,sv0038,151,32,2214,0.6143334150907047,0.6951141420414824,0.6522320690619009,0.6143334150907047,0.4035228167038699,elmid,radmid,225,mid | mid,31,0.5774647887323944,2,0.9859154929577465,0.6840837661242256,1.6720796768410557,0.4084507042253521,0.9879959107168301,29,29
elmid-radmid-az270,40,0.824702853525064,0.8660714337336164,0.15941575191706753,sv0039,138,27,2214,0.609227191246133,0.6784514584408057,0.6419786124794784,0.609227191246133,0.40315190191972006,elmid,radmid,270,mid | mid,40,0.45070422535211263,3,0.971830985915493,0.3452692691072753,1.6625585917610233,0.5211267605633804,1.3172893226537479,37,37
elmid-radmid-az315,29,0.8659492981063979,0.8864035172093857,0.10585610630665723,sv0040,146,30,2214,0.5963110631567597,0.6845790469534612,0.6374037180574877,0.5963110631567597,0.38855085122315813,elmid,radmid,315,mid | mid,30,0.5915492957746479,13,0.8309859154929577,0.6970452346356998,1.2877613286687393,0.23943661971830987,0.5907160940330395,17,17
elmid-radnear-az000,21,0.8943489087430185,0.94375,0.10277025492256704,sv0025,148,36,2214,0.5300961349784383,0.5822104789527216,0.5549324633538211,0.5300961349784383,0.35517090007794966,elmid,radnear,000,mid | near,6,0.9295774647887324,20,0.7323943661971831,0.9392552130649598,0.43092474948172504,-0.19718309859154926,-0.5083304635832349,-14,14
elmid-radnear-az045,32,0.8941281710576114,0.9155179646373443,0.09922086400091835,sv0026,138,35,2214,0.5303934850935043,0.5868160434671681,0.557180006877161,0.5303934850935043,0.3542262604718849,elmid,radnear,045,mid | near,7,0.9154929577464789,23,0.6901408450704225,0.9373726214088604,0.4066766082815154,-0.22535211267605637,-0.5306960131273449,-16,16
elmid-radnear-az090,31,0.8903642872405092,0.9334821429103612,0.11593739658105236,sv0027,150,24,2214,0.5061558171800286,0.5602809598880074,0.5318448748217408,0.5061558171800286,0.3373441618464497,elmid,radnear,090,mid | near,11,0.8591549295774648,37,0.49295774647887325,0.905271821513561,-0.026673326018555106,-0.3661971830985915,-0.9319451475321161,-26,26
elmid-radnear-az135,43,0.8368880993709792,0.8857142945698329,0.13527782246806286,sv0028,142,20,2214,0.5167785655940068,0.5702866223886092,0.5422156940603812,0.5167785655940068,0.34220636476623056,elmid,radnear,135,mid | near,39,0.46478873239436624,31,0.5774647887323944,0.4491928112733287,0.09813552402963187,0.11267605633802813,-0.35105728724369684,8,8
elmid-radnear-az180,32,0.8991866123792063,0.9482142873108387,0.12313499644540297,sv0029,144,29,2214,0.5254501986980183,0.595543609239169,0.5583055064039938,0.5254501986980183,0.3511704098620124,elmid,radnear,180,mid | near,3,0.971830985915493,25,0.6619718309859155,0.9805142327170552,0.32823537355114285,-0.3098591549295775,-0.6522788591659123,-22,22
elmid-radnear-az225,25,0.8592449873647705,0.909375,0.13092211326063274,sv0030,146,34,2214,0.5424174660819235,0.5947396958337413,0.567374870592244,0.5424174660819235,0.36478026048785717,elmid,radnear,225,mid | near,32,0.5633802816901409,17,0.7746478873239436,0.6398666000096778,0.677589325651489,0.21126760563380276,0.03772272564181123,15,15
elmid-radnear-az270,43,0.8759402164268648,0.9031746096081203,0.11799022295724897,sv0031,134,28,2214,0.5209740883508889,0.576073949005104,0.5471403077826053,0.5209740883508889,0.3473214946568377,elmid,radnear,270,mid | near,22,0.704225352112676,26,0.647887323943662,0.7822541532315199,0.22943680660188634,-0.05633802816901401,-0.5528173466296336,-4,4
elmid-radnear-az315,33,0.8872489282462817,0.8887500004842878,0.11640713519849613,sv0032,142,30,2214,0.5182418282145324,0.575642938240408,0.5454363345406049,0.5182418282145324,0.3398194147983978,elmid,radnear,315,mid | near,12,0.8450704225352113,34,0.5352112676056338,0.8787020546091425,0.03686443240246574,-0.3098591549295775,-0.8418376222066768,-22,22
